CODE;ENGLISH;FRENCH;;;;;;;;;;;;x
#;;x;;;;;;;;;;;;x
#EVENEMENTS;;x;;;;;;;;;;;;x
#;;x;;;;;;;;;;;;x
#;;x;;;;;;;;;;;;x
#;;HIDDEN EVENTS;;;;;;;;;;;;x
#ECO.0001;Attribution ressources -plaine-;Attribution ressources -plaine-;;;;;;;;;;;;x
#DESCECO.0001;Plaine de [From.Location.GetName].;Plaine de [From.Location.GetName].;;;;;;;;;;;;x
#ECO.0001A;Parfait;Parfait;;;;;;;;;;;;x
#ECO.0002;Attribution ressources -coteaux-;Attribution ressources -coteaux-;;;;;;;;;;;;x
#DESCECO.0002;Côteaux de [From.Location.GetName].;Côteaux de [From.Location.GetName].;;;;;;;;;;;;x
#ECO.0002A;OK;OK;;;;;;;;;;;;x
#ECO.0003;Attribution ressources -foret-;Attribution ressources -foret-;;;;;;;;;;;;x
#DESCECO.0003;Forêts de [From.Location.GetName].;Forêts de [From.Location.GetName].;;;;;;;;;;;;x
#ECO.0003A;Parfait;Parfait;;;;;;;;;;;;x
#ECO.0004;Attribution ressources -montagne-;Attribution ressources -montagne-;;;;;;;;;;;;x
#DESCECO.0004;Montagnes de [From.Location.GetName].;Montagnes de [From.Location.GetName].;;;;;;;;;;;;x
#ECO.0004A;OK;OK;;;;;;;;;;;;x
#ECO.0005;Attribution ressources -plaine agricole-;Attribution ressources -plaine agricole-;;;;;;;;;;;;x
#DESCECO.0005;Plaine agricole de [From.Location.GetName].;Plaine agricole de [From.Location.GetName].;;;;;;;;;;;;x
#ECO.0005A;Parfait;Parfait;;;;;;;;;;;;x
#ECO.0003;Attribution ressources -côte-;Attribution ressources -côte-;;;;;;;;;;;;x
#DESCECO.0003;Coast of [From.Location.GetName].;Littoral de [From.Location.GetName].;;;;;;;;;;;;x
#ECO.0003A;OK;OK;;;;;;;;;;;;x
#ECO.0004;Attribution ressources -étang-;Attribution ressources -étang-;;;;;;;;;;;;x
#DESCECO.0004;Etangs, lacs et rivières de [From.Location.GetName].;Etangs, lacs et rivières de [From.Location.GetName].;;;;;;;;;;;;x
#ECO.0004A;Parfait;Parfait;;;;;;;;;;;;x
#ECO.0005;Attribution ressources -désert-;Attribution ressources -désert-;;;;;;;;;;;;x
#DESCECO.0005;Désert de [From.Location.GetName].;Désert de [From.Location.GetName].;;;;;;;;;;;;x
#ECO.0005A;OK;OK;;;;;;;;;;;;x
#;x;x;;;;;;;;;;;;x
#;x;ACTIVATION EVENTS;;;;;;;;;;;;x
#;x;x;;;;;;;;;;;;x
ECO.00100;activation AGRICULTURE;activation AGRICULTURE;;;;;;;;;;;;x
DESCECO.00100;Les cultures céréalières en [From.Location.GetName] sont suffisamment importantes pour être vendues et transportées pour transformation dans villes de la région.;Les cultures céréalières en [From.Location.GetName] sont suffisamment importantes pour être vendues et transportées pour transformation dans les villes de la région.;;;;;;;;;;;;x
ECO.00100A;OK;OK;;;;;;;;;;;;x
ECO.00101;activation AGRICULTURE;activation AGRICULTURE;;;;;;;;;;;;x
