#;;x;;;;;;;;;;;;x
#;;LOIS;;;;;;;;;;;;x
groupe_tolerance;Religious Tolerance;Acceptation religieuse;;;;;;;;;;;;x
groupe_tolerance_desc;The degree of tolerance of other creeds within our lands. \nGreater religious tolerance allows the growth of thriving commmunities and economic prosperity. This will generally have a positive effect on the burghers of the realm but displease the clergy.;Il s'agit du degré d'acceptation d'autres religions sur nos terres. \nLa présence de communautés d'autres religions ouvrent des opportunités dans les domaines économiques, artistiques ou scientifiques par exemple. Cela convient en général aux cités mais déplaît à notre Clergé.;;;;;;;;;;;;x
tolerance_nulle_option;None;Aucune;;;;;;;;;;;;x
tolerance_nulle;Religious Intolerance;Aucune acceptation religieuse;;;;;;;;;;;;x
tolerance_nulle_desc;Heretics and infidels are actively persecuted and most are either put to the sword, forcefully converted, or expelled from the realm.;Les infidèles sont persécutés, convertis de force ou bannis.;;;;;;;;;;;;x
tolerance_limitee_option;Limited;Limitée;;;;;;;;;;;;x
tolerance_limitee;Limited Tolerance;Acceptation religieuse limitée;;;;;;;;;;;;x
tolerance_limitee_desc;The laws allow those of other faiths to live within the realm as second-class citizens, but it is not unheard of for talented and ambitious individuals to rise in society.;Les membres d'autres religions sont tolérés, notamment s'ils sont talentueux ou présentent un intérêt quelconque.;;;;;;;;;;;;x
tolerance_neutre_option;Moderate;Modérée;;;;;;;;;;;;x
tolerance_neutre;Moderate Tolerance;Acceptation religieuse modérée;;;;;;;;;;;;x
tolerance_neutre_desc;Members of other faiths are accepted within society and enjoy considerable freedoms and rights. This has allowed commerce to flourish, although the religious authorities are sure to disapprove.;Les membres d'autres communautés religieuses sont relativement bien acceptés et disposent de droits. Cela profite entres autres au commerce.;;;;;;;;;;;;x
tolerance_pleine_option;High;Elevée;;;;;;;;;;;;x
tolerance_pleine;Religious Acceptance;Acceptation religieuse élevée;;;;;;;;;;;;x
tolerance_pleine_desc;Peoples of all faiths and creeds coexist peacefully and are encouraged to settle in the cities, much to the chagrin of clerics across the realm.;Les fidèles des différentes religions cohabitent dans la paix et le respect de l'autre, quoiqu'en disent les grincheux du Clergé.;;;;;;;;;;;;x

law_group_trade_octroi;Trade: Octroi;Commerce : Octroi;;;;;;;;;;;;x
law_group_trade_octroi_desc;§YOctroi§! increases the §Gcity income§!, but it lowers §Rrevenues from trade§! in the whole province.\nIt also influences negatively province attractivity for trade routes attribution and population growth in the city.;L'§YOctroi§! augmente §Gles recettes de la cité§! mais §Rdiminue les revenus du commerce§! de toute la province.\nCela influence négativement l'attractivité de la province pour l'attribution de routes de commerce ainsi que la croissance de la population de la cité. ;;;;;;;;;;;;x
law_trade_octroi_0;Exemption of Octroi for the city;Exemption d'octroi pour la cité.;;;;;;;;;;;;x
law_trade_octroi_0_desc;Goods importation in the city is free.;L'mportation de biens dans la cité n'est pas taxée. ;;;;;;;;;;;;x
law_trade_octroi_0_option;Exempt;Exempt;;;;;;;;;;;;x
law_trade_octroi_1;Octroi for cities;Octroi pour les cités;;;;;;;;;;;;x
law_trade_octroi_1_desc;Importing goods in the city is taxed.;L'import de biens dans la cité est taxé.;;;;;;;;;;;;x
law_trade_octroi_1_option;Octroi;Octroi;;;;;;;;;;;;x

TOOLTIP_octroi_enacting_consequences;Enacting §GOctroi§! gives:\n -city income +2.0\n -province tax modifier -2%\n -craftmans may ask that law to be cancelled\n;Promulguer l'§GOctroi§! procure:\n -revenus de la cité +2.0\n -impôts de la province -2%\n -les artisans peuvent demander à faire annuler cette loi\n;;;;;;;;;;;;x
TOOLTIP_octroi_exemption_consequences;Enacting §GOctroi exemption§! cancels any effects of octroi law.\nMerchants may ask to enact Octroi law for the city.;Promulguer l'§GExemption d'octroi§! annule les effets de l'Octroi.\nLes Marchands peuvent demander la mise en place d'un Octroi pour la cité.;;;;;;;;;;;;x

DESCECO.220;The City [From.GetDeDapostrophe][From.holding_pour_desc.GetName] in the lands [From.Location.GetDeDapostrophe][From.Location.province_pour_desc.GetName] is now part of our demesne.\nSo, our law in regards to "Octroi" will apply within this city either.;La Cité [From.GetDeDapostrophe][From.holding_pour_desc.GetName] sur les terres [From.Location.GetDeDapostrophe][From.Location.province_pour_desc.GetName] fait désormais partie de notre Domaine.\nAinsi, notre loi au regard d'Octroi s'appliquera aussi dans cette cité. ;;;;;;;;;;;;;x
ECO.220A;As it should be.;Comme il se doit.;;;;;;;;;;;;x
DESCECO.221;The City [From.GetDeDapostrophe][From.holding_pour_desc.GetName] is now part of our demesne.\nIt used to apply a law enforcing "Octroi" on the goods entering the city, bringing more revenues to the city but negatively impacting the trade income from the province [From.Location.GetDeDapostrophe][From.Location.province_pour_desc.GetName].\n\nMight we keep or abolish this?;La Cité [From.GetDeDapostrophe][From.holding_pour_desc.GetName] fait désormais partie de notre Domaine.\nCelle-ci avait pour coutume d'appliquer un Octroi sur les biens entrant dans la cité.\n\nDeveons-nous maintenir cette pratique ou l'abolir ? ;;;;;;;;;;;;;x
ECO.221A;Let them perpetuate this.;Laissons-les pertétuer cette pratique.;;;;;;;;;;;;x
ECO.221B;No, they'll apply to our law.;Non, ils doivent appliquer notre loi.;;;;;;;;;;;;x

DESCL3T.222a;;;;;;;;;;;;;;x
DESCL3T.222b;;;;;;;;;;;;;;x
DESCL3T.222c;;;;;;;;;;;;;;x
DESCL3T.222d;;;;;;;;;;;;;;x
ECO.222A;Let's agree to this;Donnons notre accord;;;;;;;;;;;;x
ECO.222B1;Who can refuse good old bribe?;Qui refuserait un bon vieux pot-de-vin ?;;;;;;;;;;;;x
EVTTOOLTIP_L3T.222B1;;;;;;;;;;;;;;x
ECO.222B2;Use our hability to convince him;Usons de notre habilité pour le convaincre;;;;;;;;;;;;x
EVTTOOLTIP_L3T.222B2;;;;;;;;;;;;;;x
ECO.222C2;Let's threaten him...;Nous le menaçons...;;;;;;;;;;;;x
EVTTOOLTIP_L3T.222B3;;;;;;;;;;;;;;x
ECO.222C;Let's refuse that request;Refusons la requête;;;;;;;;;;;;x
EVTTOOLTIP_L3T.222C;We'll assume whatever the consequences are;Nous en assumerons les conséquences;;;;;;;;;;;;x
ECO.222E;;;;;;;;;;;;;;x
ECO.222F;;;;;;;;;;;;;;x
DESCECO.223;;;;;;;;;;;;;;x
ECO.223A;;;;;;;;;;;;;;x
DESCECO.224;;;;;;;;;;;;;;x
ECO.224A;;;;;;;;;;;;;;x

octroi_annoyed_craftman;;;;;;;;;;;;;;x
octroi_annoyed_craftman_desc;;;;;;;;;;;;;;x
octroi_annoyed_merchant;;;;;;;;;;;;;;x
octroi_annoyed_merchant_desc;;;;;;;;;;;;;;x
octroi_annoyed_militia;;;;;;;;;;;;;;x
octroi_annoyed_militia_desc;;;;;;;;;;;;;;x
octroi_annoyed_citycouncilor;;;;;;;;;;;;;;x
octroi_annoyed_citycouncilor_desc;;;;;;;;;;;;;;x

octroi_needs_a_city;We must own at least one city in our Demesne;Nous devons posséder au moins une cité dans notre Domaine;;;;;;;;;;;;x
octroi_needs_specialized_city;All cities need to be specialized already;Toutes les cités doivent avoir déjà reçu une spécialisation;;;;;;;;;;;;x

#;;x;;;;;;;;;;;;x
jizya_group;Ahl al-kitâb status;Statut des Ahl al-kitâb;;;;;;;;;;;;x
jizya_group_desc;Ahl al-kitâb, the "People of the Book", are monotheistic non-Muslims whose religion is based on divine teachings through a book revealed to and taught by a prophet. \nA Muslim ruler may decide to integrate these populations or subject them to the status of "Dhimmi". \nThis status prohibits them from fighting and obliges them to pay an additional tax, the §YJizia§!, in return for the protection of their person, their property and their freedom of belief. ;Ahl al-kitâb, les "gens du livre", sont des non-musulmans monothéistes dont la religion est fondée sur des enseignements divins à travers un livre révélé à un prophète et enseigné par ce dernier. \nUn souverain musulman peut décider d'intégrer ces populations ou de les soumettre au statut de "Dhimmi". \nCe statut leur interdit de combattre et les obligent au paiement d'un impôt supplémentaire, la §YDjizia§!, en contrepartie de la protection de leur personne, leurs biens et de leur liberté de croyance. ;;;;;;;;;;;;x
jizya_0_option;Dhimmis;Dhimmis;;;;;;;;;;;;x
jizya_0;Dhimmis status;Statut de Dhimmis;;;;;;;;;;;;x
jizya_0_desc;The People of the book are forced to pay a fee to fund their protection. \nThey can't join the levies or garrisons. \n;Les gens du livre sont contraints à payer une taxe pour financer leur protection. \nIls ne peuvent rejoindre les forces armées ou garnisons. \n;;;;;;;;;;;;x
jizya_1_option;Invalid;Invalide;;;;;;;;;;;;x
jizya_1;Invalid;Invalide;;;;;;;;;;;;x
jizya_1_desc;There are no non-muslim people of the book in the kingdom, there's no need to pass a law about them.;Il n'y a pas de gens du livre non-musulmans dans le royaume, inutile de passer une loi les concernant.;;;;;;;;;;;;x
jizya_2_option;Citizenship;Citoyenneté;;;;;;;;;;;;x
jizya_2;Citizenship for the People of the Book;Citoyenneté pour les Gens du Livre;;;;;;;;;;;;x
jizya_2_desc;People of the Book are integrated and can fight in their lord's armed forces. \n;Les Gens du Livre sont intégrés et peuvent combattre dans les forces armées de leur seigneur. \n;;;;;;;;;;;;x
